QUEST_UNUSED_20150317_000001	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.
QUEST_UNUSED_20150714_000271	Sepertinya Jeffry masih memiliki sesuatu yang perlu diperhatikan. Cobalah bicara dengannya.
QUEST_UNUSED_20150714_000272	Bunuh Giant Wood Goblin
QUEST_UNUSED_20150714_000273	Keffry telah meminta tolong untuk menghabisi Giant Wood Goblin yang memimpin para Wood Goblin.
QUEST_UNUSED_20150714_000274	Telah berhasil membunuh Giant Wood Goblin. Beritahukan kebenaran ini pada Jeffry.
QUEST_UNUSED_20150717_000275	Kyupole Meile
QUEST_UNUSED_20150717_000276	Shetrigailla
QUEST_UNUSED_20150717_000277	Menghindar Petrification Frost
QUEST_UNUSED_20150717_000278	Benda yang berada di Box..?
QUEST_UNUSED_20150717_000279	Troops Seal yang dimiliki Monster
QUEST_UNUSED_20150717_000280	berkata akan coba mengumpulkannya.
QUEST_UNUSED_20150717_000281	Berkata tidak begitu tertarik.
QUEST_UNUSED_20150717_000282	Mencoba mengecek Petrification Detector
QUEST_UNUSED_20150717_000283	Cobalah mengecek Petrification Detector di Pintu masuk Coastal Fortress.
QUEST_UNUSED_20150717_000284	Menghindari Petrification Frost
QUEST_UNUSED_20150717_000285	Ketika bermaksud mengecek detector, secara kebetulan dari arah belakang muncullah sesuatu! Sepertinya itu adalah Petrification Frost! Berlarilah ke tempat yang aman menghindari Petrification Frost!
QUEST_UNUSED_20150717_000286	Membuka Treasure Box
QUEST_UNUSED_20150717_000287	Treasure Box yang ada di ujung Coastal Fortress mencurigakan. Hampiri dan cobalah membukanya.
QUEST_UNUSED_20150717_000288	Membunuh Monster dengan menghindari Petrification Frost
QUEST_UNUSED_20150717_000289	Ketika membuat Box muncullah Petrification Frost lemah, dan para monster di sekitar datang mengepung! Bunuhlah semua monster dengan menghindari Petrification Frost.
QUEST_UNUSED_20150717_000290	Bicaralah Wilhelmina Carriot
QUEST_UNUSED_20150717_000291	Segel Tropps milik Ruklys, Dapatkan Parchment Document
QUEST_UNUSED_20150717_000292	Dapatkanlah berbagai benda yang berguna untuk informasi dari Earth Castile.
QUEST_UNUSED_20150729_000293	Hampir saja terjadi masalah besar ya. Saya adalah Kyupole Meile.{nl} Aku datang ke tempat ini bermaksud untuk mengarahkan jiwa-jiwa yang membantu dan tidak bisa beristirahat.{nl} Tetapi seperti tadi, karena tidak ada yang tahu kapan Petrification Frost akan datang, maka sulit untuk bergerak sembarangan.
QUEST_UNUSED_20150729_000294	{nl}Terdapat Petrification Detector, tetapi entah yang mana sepertinya ada yang rusak..{nl} Maukah kau melakukan pemeriksaan detector?
QUEST_UNUSED_20150729_000295	Sejak dahulu diantara Para Goddess dan Demon memiliki kontrol kekuatan yang baik.{nl}masing-masing menjaga agar tidak melewati batasannya.{nl} Tetapi suatu hari para Demon menurunkan kutukan Petrification seperti ini.
QUEST_UNUSED_20150729_000296	Petrification Detector terpasang di beberapa tempat. {nl} Karena detector yang tadi pertama kali dilihat sepertinya beroperasi baik, tolong periksalah sisanya.
QUEST_UNUSED_20150729_000297	Kalau saja detector beroperasi dengan baik..
QUEST_UNUSED_20150729_000298	Ah, begitu rupanya.{nl} ternyata ada dua buah yang rusak.
QUEST_UNUSED_20150729_000299	Masalah pengoperasian detector, alangkah baiknya jika ditanyakan kepada Kingdom Army.{nl} Karena merekalah yang memasang detector itu.{nl} Cobalah pergi mencari Kingdom Army Retia, mungkin ia dapat membantu?
QUEST_UNUSED_20150729_000300	Demon menurunkan kutukan Petrification di daratan ini.. Para Goddess awalnya bermaksud untuk menolong manusia.{nl} Tetapi demon menanyakan akan peraturan mutlak yang tidak mengijinkan untuk saling menginterfensi, lalu demon mengamuk di area lainnya…
QUEST_UNUSED_20150729_000301	{nl}Ah bencana yang parah telah turun..{nl} Sungguh bencana yang parah, sampai-sampai para Goddess menyerah untuk menyelamatkan tempat yang membatu ini..
QUEST_UNUSED_20150729_000302	Retia ada di Verkti Square.{nl}Emm? Kau sudah tahu rupanya?
QUEST_UNUSED_20150729_000303	Petrification Detector yang ada di Coastal Fortress rusak katamu?{nl} Aku sudah mengetahui akan hal itu. Bisa juga begitu.
QUEST_UNUSED_20150729_000304	Tetapi masih belum tiba? Aku mengirimkan pasukan bantuan ke arah situ.{nl} Cukup lama sejak kukirimkan mereka untuk memperbaiki Detector yang rusak.. Apa yang terjadi ya..
QUEST_UNUSED_20150729_000305	{nl} Maukah kau mencari mereka?
QUEST_UNUSED_20150729_000306	Tetapi kalau melihat tidak ada kabar seperti ini.. Sepertinya telah terjadi sesuatu dengan mereka.{nl} Jika kau menemukan mayat dari mereka.. walaupun merepotkan, maukah anda coba mencari mayat tersebut?{nl} Mungkin anda akan mendapatkan benda yang berguna darinya. Jika tidak mungkin dari monster yang ada di sekitar sana..
QUEST_UNUSED_20150729_000307	Di arah pintu masuk Coastal Fortress, sering dilaporkan adanya Petrification Frost, entah apakah mereka diserang oleh monster atau terkena Petrification Frost.
QUEST_UNUSED_20150729_000308	Seluruh pasukan bantuan mengalami hal ini rupanya.. Sungguh sayang sekali.. {nl} Nantinya jiwa mereka pun harus diarahkan.
QUEST_UNUSED_20150729_000309	Ya. Bagaimanapun bawalah sparepart itu, dan perbaikilah detector yang rusak.{nl} Walaupun ini adalah pekerjaan kami, tolong mengertilah kami tidak dapat meninggalkan tempat ini kosong.
QUEST_UNUSED_20150729_000310	Itu adalah sparepart untuk perbaikan.{nl} Sekarang anda harus pergi memperbaikinya.{nl} Berhati-hatilah akan Petrification Frost.
QUEST_UNUSED_20150729_000311	Kami berpikir untuk mengarahkan para jiwa untuk beristirahat dengan tenang, jikasemua  Petrification Detector telah normal kembali.
QUEST_UNUSED_20150729_000312	Kalau begitu, mohon bantuannya ya.
QUEST_UNUSED_20150729_000313	Oh, semua telah kembali beroperasi normal rupanya.{nl} Terima kasih banyak.{nl} Sekarang aku harus bersikap tenang dan mengarahkan para jiwa.
QUEST_UNUSED_20150729_000314	Kami khawatir karena jiwa-jiwa itu terlalu banyak..{nl} tetapi kami berencana untuk mengarahkan mereka satu per satu.{nl} Semoga jalan dari tuan Savior ke depannya diberkati Goddess selalu.
QUEST_UNUSED_20150729_000315	Siapa ya. Pergilah kesana.{nl} Ah.. Mungkin anda dapat membantuku..
QUEST_UNUSED_20150729_000316	Priest Yuta
QUEST_UNUSED_20150729_000317	Wah. Aku tidak sangka akan bertemu dengan manusia di kuburan seperti ini.{nl} Aku adalah Bokor yang mempercayai Goddess Zemyna. Aku datang sampai ke tempat ini untuk mencari keberadaan Goddess Zemyna yang menghilang.{nl}
QUEST_UNUSED_20150729_000318	Karena mendengar bahwa Goddess Zemyna yang menyembunyikan rupanya telah memberkati organisasi Tree of Truth, maka aku datang berlari sampai kesini.{nl} Bagaimanapun papra mayat ini tidak bisa dikontrol dengan kekuatanku. Sepertinya mereka harus dihabisi karena mengganggu ritual..
QUEST_UNUSED_20150729_000319	Ah, sungguh? Terima kasih banyak.{nl} Sebenarnya saya kesulitan untuk melakukan persiapan ritual sendirian.{nl}
QUEST_UNUSED_20150729_000320	Kalau begitu tolong habisilah para mayat yang ada di sekitar sini.{nl} Saya akan mempersiapkan ritual dan memanjatkan doa kepada Goddess.
QUEST_UNUSED_20150729_000321	Padahal kupikir akan ada sesuatu jika datang kemari, yang ada hanya mayat-mayat yang tidak mempan akan kekuatan Bokor..{nl} Baru pertama kalinya aku melihat yang seperti ini.  Aku harus bergegas mencari Goddess padahal..
QUEST_UNUSED_20150729_000322	Ah, sudah kembali rupanya. Berkat anda kami dapat memanjatkan doa kepada Goddess dengan selamat.{nl}Yha.. Walaupun tidak ada jawaban apapun seperti biasanya..
QUEST_UNUSED_20150729_000323	Berkata akan coba memeriksa
QUEST_UNUSED_20150729_000324	Signal
QUEST_UNUSED_20150729_000325	Cutting Tail(1)
QUEST_UNUSED_20150729_000326	Cutting Tail(2)
QUEST_UNUSED_20150729_000327	Cutting Tail(3)
QUEST_UNUSED_20150729_000328	Arrive on Dead end(1)
QUEST_UNUSED_20150729_000329	Arrive on Dead end(1)
QUEST_UNUSED_20150729_000330	Arrive on Dead end(1)
QUEST_UNUSED_20150729_000331	Documentary Shelter
QUEST_UNUSED_20150729_000332	Noble Demon Lord
QUEST_UNUSED_20150729_000333	Ittienary to find me(1)
QUEST_UNUSED_20150729_000334	Ittienary to find me(2)
QUEST_UNUSED_20150729_000335	Ittienary to find me(3)
QUEST_UNUSED_20150729_000336	Ittienary to find me(4)
QUEST_UNUSED_20150729_000337	Ittienary to find me(5)
QUEST_UNUSED_20150729_000338	Ittienary to find me(6)
QUEST_UNUSED_20150729_000339	Endless Transaction (1)
QUEST_UNUSED_20150729_000340	Endless Transaction (2)
QUEST_UNUSED_20150729_000341	Endless Transaction (3)
QUEST_UNUSED_20150729_000342	Endless Transaction (4)
QUEST_UNUSED_20150729_000343	Tragedy of Legwyin family (1)
QUEST_UNUSED_20150729_000344	Tragedy of Legwyin family (2)
QUEST_UNUSED_20150729_000345	Tragedy of Legwyin family (3)
QUEST_UNUSED_20150729_000346	Progress
QUEST_UNUSED_20150730_000347	Sedang memperbaiki/HAMMERING/5/TRACK_AFTER/None
QUEST_UNUSED_20150730_000348	Notice/Detector mulai beroperasi!#5
QUEST_UNUSED_20150730_000349	Sedang memperbaiki/HAMMERING/3/TRACK_BEFORE/None
QUEST_UNUSED_20150803_000350	Bicara dengan Member Irumantas
QUEST_UNUSED_20150803_000351	Mencari dengan Member Grazina
QUEST_UNUSED_20150803_000352	Terdengar suara seseorang mememanggil di sekitar.
QUEST_UNUSED_20150803_000353	Bicara dengan Member Grazina
QUEST_UNUSED_20150803_000354	Memberikan barang kepada Irumantas
QUEST_UNUSED_20150803_000355	Pergi mencari Member Alina
QUEST_UNUSED_20150803_000356	Bicara dengan Member Alina
QUEST_UNUSED_20150803_000357	Bicara dengan Member Allin
QUEST_UNUSED_20150804_000358	Untuk mendekati Royal tomb, maka harus melewati semua ujian milik Zakariel King. Cobalah bicara dengan Historian Rexipher untuk mendapatkan symbol mengenai ujian berikut.
QUEST_UNUSED_20150811_000359	Di sebelah kanan pertigaan ini terdapat markas dari para monster. {nl} Entah apakah masih ada kawan-kawan yang tersisa, karena belum dimakan monster itu.
QUEST_UNUSED_20150811_000360	Notice/!/Bunuhlah monster yang sedang menghalangi jalan!#8
QUEST_UNUSED_20150811_000361	Notice/Telah membunuh semua monster yang sedang menghalangi jalan!#8
QUEST_UNUSED_20150923_000362	Apakah kau datang karena Archer Master mengirimkanmu.{nl} Klaipeda perlahan mulai stabil, tetapi Femidian masih seperti ini saja.
QUEST_UNUSED_20150923_000363	Kuserahkan padamu monster selevel kapten di Mage Tower.{nl} Kami kekurangan orang untuk membangun kembali Fermidian, sampai muncul monster di Tower tersebut.
QUEST_UNUSED_20150923_000364	Menurut laporan dari pasukan pengintai yang berhasil menyelinap, terdapat Minotaurus di lantai 3 Mage Tower. Jika membunuh monster itu, maka akan menjadi peringatan yang cukup kan.
QUEST_UNUSED_20150923_000365	Terima kasih. Berkat anda spirit dari para monster sudah sedikit mereda rupanya. {nl} Tolong sampaikan terima kasih juga kepada Archer Master.
QUEST_UNUSED_20150923_000366	Koleksi dari kolektor
QUEST_UNUSED_20150923_000367	Sedang membakar
QUEST_UNUSED_20150923_000368	Sampai tidak tersisa jejak dari Storage
QUEST_UNUSED_20150923_000369	Bunuhlah monster yang menghalangi jalan!
QUEST_UNUSED_20150923_000370	Telah membunuh semua monster yang sedang menghalangi jalan
QUEST_UNUSED_20150923_000371	Telah menyampaikan Soul Urns kepada Weak Owl Statue
QUEST_UNUSED_20150923_000372	Bunuhlah Werewolf!
QUEST_UNUSED_20150923_000373	Bunuhlah Mushcaria yang muncul mendadak!
QUEST_UNUSED_20150923_000374	Sedang mendoakan mayat
QUEST_UNUSED_20150923_000375	Sedang berdoa
QUEST_UNUSED_20150923_000376	Telah mendoakan para prajurit yang mati!
QUEST_UNUSED_20150923_000377	Sedang coba menggali
QUEST_UNUSED_20150923_000378	Sedang menggali
QUEST_UNUSED_20150923_000379	Hancurkan Supply Box dan lacaklah Vubbe yang kabur!
QUEST_UNUSED_20150923_000380	Lacaklah suku Vubbe yang kabur!
QUEST_UNUSED_20150923_000381	Berpindahlah ke area berikut
QUEST_UNUSED_20150923_000382	Bunuh monster yang menghalangi jalan!
QUEST_UNUSED_20150923_000383	Selesai membunuh monster yang menghalangi jalan1
QUEST_UNUSED_20150923_000384	Di sekitar Owl Statue yang hancur telah muncul monster!
QUEST_UNUSED_20150923_000385	Mushwort yang menghancurkan Owl Statue telah muncul!
QUEST_UNUSED_20150923_000386	Ketika sedang bermaksud menyalakan api, mendadak para monster datang mengepung!{nl} Pertama-tama kalahkan mereka, lalu coba kembali nyalakan api!
QUEST_UNUSED_20150923_000387	Telah membakar Owl Statue dengan baik!
QUEST_UNUSED_20150923_000388	Sedang membakar 
QUEST_UNUSED_20150923_000389	Bunuhlah seluruh monster sambil menjaga api di tumpukan patung!
QUEST_UNUSED_20150923_000390	Bunuhlah Lepus yang menghalangi jalan!
QUEST_UNUSED_20150923_000391	Telah membunuh Lepus yang menghalangi jalan!
QUEST_UNUSED_20150923_000392	Para Syaullem datang untuk menghalangi!
QUEST_UNUSED_20150923_000393	Sedang memberitahukan keadaan
QUEST_UNUSED_20150923_000394	Sedang menyampaikan cerita yang didengar
QUEST_UNUSED_20150923_000395	Berbicara dengan Collector
QUEST_UNUSED_20150923_000396	Mendapat Collection
QUEST_UNUSED_20151015_000397	Apakah kau adalah tuan Savior yang memimpikan mimpi Goddess.{nl} Aku adalah Kapten Knight yang bertanggung jawab akan Syaullei dan Klaipeda, namaku Uska.{nl}
QUEST_UNUSED_20151015_000398	Kerajaan sekarang, telah kehilangan seluruh harapan. {nl} Sampai keinginan untuk bangkit kembali pun terputus.. Hanya meneriakkan nama Goddess saja.{nl}
QUEST_UNUSED_20151015_000399	Sebenarnya aku tidak dapat menatap saudara sekalian yang merupakan Savior dengan optimis.{nl} Sebagai seorang yang bertanggung jawab akan satu kota ini.. {nl}
QUEST_UNUSED_20151015_000400	Bukankah kita tidak dapat menghadapi keputusasaan lagi.
QUEST_UNUSED_20151015_000401	Nah.. Bagaimanapun, Bishop pun juga telah memimpikan Revelation.{nl} Ia berkata jika Savior datang, maka harus dikirimkan ke Crystal Mine.{nl}
QUEST_UNUSED_20151015_000402	Tetapi saat ini terjadi pertempuran dengan Vubbe di Crystal Mine, sehingga akses kesana dibatasi.{nl} Cobalah temui Aras, Knight yang berada di bagian timur hutan.
QUEST_UNUSED_20151015_000403	Yang menyebabkan monster di hutan ini bertambah, adalah ulah dari Vubbe Fighter.{nl} Tolong carilah tahu seberapa banyak jumlah Vubbe Fighter.{nl}
QUEST_UNUSED_20151015_000404	Oke, Kau adalah Savior yang terkenal itu kan?{nl}Hmm.. Aku memiliki sesuatu rekomendas. Kau. Maukah coba bekerja sama dengan denganku?{nl}
QUEST_UNUSED_20151015_000405	Kau tahu bahwa daerah pertahanan terakhir dari pasukan Ruklys adalah Earth Castile kan?{nl} Tetapi bukan hanya itu saja. Nah bagian ini adalah rahasia.. Sebelumnya aku punya pertanyaan.{nl}
QUEST_UNUSED_20151015_000406	Hmm. Kau ada di pihak mana?{nl}Kingdom army? Jika bukan apakah Knight of Kalis?{nl} Kalau malas menjawab, abaikanlah saja.
QUEST_UNUSED_20151015_000407	Berhati-hatilah agar tidak ketahuan Kingdom Army.{nl} Kalau ketahuan, tersenyumlah dan lewatilah saja.
QUEST_UNUSED_20151015_000408	Kau telah melihat Patung Gargoyle di Assembly Area kan?{nl} Itu adalah Gargoyle yang di maksud.{nl}
QUEST_UNUSED_20151015_000409	Sungguh aneh, ketika aku ingin kembali ke kastil terdapat sesuatu yang mendadak bergerak seperti hidup dan menghalangi.{nl} Mustahil untuk menghadapinya dengan kekuatan kami tanpa membuat keributan.
QUEST_UNUSED_20151015_000410	Poata yang ada di hutan sebelah timur Syaullei, katanya sedang mengancan para penduduk.{nl} Jika kau menghabisi monster itu dengan nama Goddess, aku akan mengajarimu sihirku.
QUEST_UNUSED_20151015_000411	Sepertinya ketika aku melihatmu pertama kali... kemampuanmu kurang baik.{nl} Sekarang sepertinya kau lebih terkenal dibandingkan aku.{nl}
QUEST_UNUSED_20151015_000412	Terima kasih.{nl} Ke depannya kumpulkanlah lebih banyak pengalaman praktik dan jika mempelajari ilmu pedang dariku, agar dapat menjadi Swordman yang baik.
QUEST_UNUSED_20151015_000413	Kau datang untuk menerima pelajaran Rogue dariku?{nl}Kau melakukan hal tepat.{nl}  Sebagai rogue kau harus dapat memperlihatkan kemampuan dan menyelesaikan masalah dalam sekaligus.{nl}
QUEST_UNUSED_20151015_000414	Scout Master dan aku dahulu adalah teman yang dekat tiada bandingannya, tetapi sekarang hubungan kami sedikit aneh.{nl} Aku ingin mengembalikan hubungan dengan memberikan hadiah sesuatu.. tetapi jika aku pergi secara langsung, sungguh terlalu vulgar rasanya.{nl} Maukah kau pergi menggantikanku diam-diam untuk memberikan hadiah?
QUEST_UNUSED_20151015_000415	Bagus. Tetapi ini dianggap sebagai ujianmu juga.{nl} Kau harus menaruh hadiah ini dengan diam-diam tanpa ketahuan oleh Scout Master.{nl} Yang ingin kuajarkan kepadamu dari hal ini adalah dasar dari menangkap lawan dari belakang.
QUEST_UNUSED_20151015_000416	Kau telah berhasil mengantarkannya dengan baik ya.{nl} Setelah ia mengeceknya nanti, pasti akan sangat kaget bukan?{nl}
QUEST_UNUSED_20151015_000417	Sekarang adalah waktunya menyelesaikan urusan denganmu.{nl} Jika kau bisa menaruh benda tanpa sepengetahuan Scout Master dan kembali kemari, maka kau bukanlah orang biasa, dalam sekejap dapat mempelajarinya.
QUEST_UNUSED_20151015_000418	kau datang untuk belajar teknik Fletcher rupanya.{nl} Jika levelmu layak untuk mendapatkan pengajaran, maka bersiaplah karena persiapannya pun tidaklah mudah.{nl}
QUEST_UNUSED_20151015_000419	Aku sejak dahulu telah mencari panah yang dibuat oleh First Fletcher master.{nl} Karena merupakan panah yang dihadiahkan kepada Lidia Sharpen, maka teknik yang tersimpan disana bukanlah yang biasa bukan.{nl} Aku telah mendapatkan informasi mengenai material dari panah yang tersisa belakangan ini, tetapi untuk menjalankan hal ini, harus ada orang yang dapat mengetahui nilai dari panah itu bukan.
QUEST_UNUSED_20151015_000420	Melalui informasi yang kudapat, sepertinya bisa dicari pada Canyon Area 36_1.{nl} Katanya telah dipakai untuk menghadapi suatu monster ganas, alangkah baiknya jika berhati-hati.
QUEST_UNUSED_20151015_000421	Oh melihat bentuknya saja, terasa sungguh luar biasa.{nl} Aku ingin segera meneliti panah ini, tetapi harus kutepati janjiku dulu padamu bukan.{nl}nah, sekarang perhatikanlah baik-baik, karena aku akan memperlihatkan teknik yang kumiliki.
QUEST_UNUSED_20151015_000422	Sebagai Falconer Master aku sedang mencari cara untuk memperkuat para Falconer melalui berbagai percobaan.{nl} Diantaranya adalah, aku pernah berpikir apakah monster yang terbang tidak dapat dipakai menggantikan elang.{nl}
QUEST_UNUSED_20151015_000423	Tentu saja aku puas akan kinerja Wreath sebagai partnerku, tetapi aku berpikir dengan percobaan ini dapat membantu para Falconer.
QUEST_UNUSED_20151015_000424	Kukira hal itu bisa dilakukan dengan memberi makanan seperti saat melatih elang?{nl} Karena aku tidak terlalu banyak berharap, alangkah baiknya jika coba pergi dan melakukannya.{nl} Karena aku sudah mempersiapkan makanan dengan cukup, cobalah lakukan pada tiga jenis monster paling tidak.
QUEST_UNUSED_20151015_000425	Gagal rupanya. Sayang sekali, tetapi hal itu telah kuperkirakan.{nl} Apapun hasilnya aku harus menghargai upayamu kan.{nl} Bagus,  aku akan memperlihatkannya secara langsung.
QUEST_UNUSED_20151015_000426	Kau ingin mempelajari teknik yang lebih advance katamu?{nl} Jika ingin mempelajari teknik advance Schwarzer Reiter, maka kau harus memiliki kemampuan yang layak kan.{nl} Menembak dan mengenai musuh dengan tepat pertama dan kedua adalah hal yang penting.
QUEST_UNUSED_20151015_000427	Aku suka rasa percaya dirimu.{nl} Tetapi aku harus mengecek apakah itu bukan cuman perkataan saja.{nl} lakukanlah serangan berurutan sebanyak 200 kali tanpa ada kesalahan pada monster biasa, jika berhasil maka akan kuakui kau.
QUEST_UNUSED_20151015_000428	Bukan gertakan rupanya.{nl} Dengan kemampuan seperti itu, aku merasa mampu mengajarimu.
QUEST_UNUSED_20151015_000429	Kau datang untuk mempelajari teknik Monk?{nl} Kau datang dengan tepat. Sepertinya kau dapat dipercaya untuk melakukannya.{nl} Ada pekerjaan yang ingin kumintai tolong.{nl}
QUEST_UNUSED_20151015_000430	Sekarang pun aku sedang menyesali kesalahan yang kulakukan di masa lalu.{nl} mengenai hal itu, aku sedang menolong mereka ini agar perasaan bersalah itu terbayarkan, tetapi jika ini sampai ketahuan jadi sulit rasanya.{nl} Sebenarnya cukup dengan memberikan suatu benda kepada mereka, tetapi jika melakukannya dengan baik, akan kuakui kemampuanmu dan kuajarkan teknik itu.
