QUEST_LV_0200_20150317_000001	필리파스 직속 부대원
QUEST_LV_0200_20150317_000194	{memo X}도대체 무슨 일이 있던걸까요? 오늘 여기서 본 것들은 밖에서 이야기 하시면 안 됩니다.
QUEST_LV_0200_20150317_000195	{memo X}좀 더 자세한 사정을 알아보려면 결국 루클리스의 본거지인 대지의 요새에 갈 수 밖에 없군요.{nl}하지만 왕국군이 출입을 재한하는 바람에 들어갈 수 없습니다.{nl}좋은 방법이 하나 있습니다만..
QUEST_LV_0200_20150317_000196	{memo X}이곳은 대지의 요새에서 패잔병들이 도망칠때 사용한 포탈이 있습니다.{nl}기록에 의하면 총 열 곳이나 있더군요.{nl}그중 네 곳이 여기 있습니다. 그것들이 아직도 작동하는 지 알아봐 주실 수 있겠습니까?
QUEST_LV_0200_20150317_000197	{memo X}지금 우리가 계획하는 일은 교수대에 오를만한 일입니다.{nl}꼭 비밀을 지켜주세요.
QUEST_LV_0200_20150317_000198	군사 지구에 있는 포탈이 유일한 희망이군요.
QUEST_LV_0200_20150317_000199	헌터 탈러스
QUEST_LV_0200_20150317_000200	난 별의 탑을 세운 리디아 샤펜의 몇 안되는 흔적을 찾고 있어.{nl}루클리스의 가슴을 궤뚫었다는 그 명궁 리디아 샤펜 말일세.
QUEST_LV_0200_20150317_000201	왕국군 레티아
QUEST_LV_0200_20150317_000202	{memo X}수 백년 전 루클리스의 반란으로 말미암아 생겨난 석화서리 저주로 인해 보시는 것처럼 별 볼일 없는 황무지로 변해버렸습니다.
QUEST_LV_0200_20150317_000203	{memo X}칼리스 기사단의 요청으로 당신을 통과시켜주겠지만 항상 우리의 시선이 미치는 곳에 계시기 바랍니다.
QUEST_LV_0200_20150317_000204	{memo X}4년전 신수의 날 이후 이 지역 왕국군의 통솔권자로 베나스님이 임명되셨습니다.{nl}베나스님은 대지의 요새로 통하는 길의 정비상태를 고르게 하라는 명령을 내리셨지요.
QUEST_LV_0200_20150317_000205	{memo X}당신에게 급한 볼일이 없다면 A지역의 몬스터들을 처리해 주십시오.{nl}그것이 여신과 왕국에 헌신하는 첫 걸음이 될 것입니다..{nl}물론 적당의 보상도 약속 드리겠습니다.
QUEST_LV_0200_20150317_000206	{memo X}600년전 간악한 반란군 수장 루클리스와 이 곳의 시민들은 위대한 재상 프리미어 에미넌트님의 선정에도 불구하고{nl}악행을 저질렀습니다. 그 결과가 바로 이 곳입니다.
QUEST_LV_0200_20150317_000207	{memo X}나쁘지 않군요. 어쩌면 경비병으로 쓸만하겠어요.
QUEST_LV_0200_20150317_000208	{memo X}4년전 신수의 날 이후로 석화서리의 발생 주기가 불규칙적으로 변했습니다.{nl}불규칙한 석화서리로 인해 우린 많은 병력을 이 황무지에서 잃게되었죠.{nl}그리곤 한정적으로 이곳 통곡의 광장에서 석화탐지기를 설치하여 그 주기를 기록하고 병력들을 대피시키고 있습니다.
QUEST_LV_0200_20150317_000209	{memo X}왕국에 충성하고 그 의지를 받을 생각이라면 석화탐지기를 확인해 주십시오.
QUEST_LV_0200_20150317_000210	{memo X}탐지기를 점검하는 병사들을 노리는 몬스터들도 있습니다. 부디 조심하시기 바랍니다.
QUEST_LV_0200_20150317_000211	{memo X}두 지점에서 석화 서리가 불어닥칠 예정이군요.{nl}당신은 꽤 유명한 계시자라고 들었습니다.{nl}안 그렇습니까?
QUEST_LV_0200_20150317_000212	{memo X}몇 개월 전부터 탐지기를 확인하는 병사들을 습격하는 몬스터가 등장했습니다.{nl}살아남은 병사들의 이야기론 거대한 새라고 하는 군요.{nl}왕실도감을 찾아보니 스파나스혼과 매우 흡사해 보입니다.
QUEST_LV_0200_20150317_000213	{memo X}당신이 계시자라면 충분히 녀석과 싸울 수 있을 겁니다.{nl}하지만 A지역에선 안 됩니다. 지친 병력들이 휘말릴 수 있어요.
QUEST_LV_0200_20150317_000214	{memo X}A지역의 이제 막 생겨나기 시작한 석화 서리들을 이 흡수 스크롤을 사용해서 잠시나마 없애 주십시오.{nl}그렇다면 곧 있을 석화서리에서 스파나스혼은 B지역에서 출몰하게 될겁니다.
QUEST_LV_0200_20150317_000215	{memo X}이 경비병들은 석화서리와 함께 스파나스혼에게 목숨을 위협당하던 녀석들 입니다.{nl}지금 공포에 눈이 멀어서 될 수 있으면 녀석과 싸우게 할 순 없습니다. 승산도 없구요.
QUEST_LV_0200_20150317_000216	{memo X}석화서리는 아주 잠시 사라진 것 뿐입니다.{nl}우리가 무슨 짓을 하더라고 루클리스가 불러온 천벌을 막아낼 방법이 없죠.
QUEST_LV_0200_20150317_000217	{memo X}준비 되셨습니까? 이제 스파나스혼을 처치해야할 시간입니다.{nl}하지만 시간이 얼마 없습니다. 당신이 제아무리 위대한 계시자일지라도 석화서리에 한 번이라도 노출되면 그걸로 끝입니다.{nl}B지역으로 가십시오. 우리들처럼 탐지기를 만지고 있다면 스파나스혼이 습격해 올겁니다.{nl}녀석을 처치하고 석화서리가 시작되기 전에 빨리 빠져 나오시기 바랍니다.
QUEST_LV_0200_20150317_000218	{memo X}도망다니고 피하는 것도 좋은 방법입니다.{nl}하지만 언제까지 그럴순 없을 겁니다.{nl}당신같은 훌륭하고 충성심 높은 지원자가 있을때 이 일을 끝내야합니다.
QUEST_LV_0200_20150317_000219	{memo X}녀석을 처치했다니 수 년간 들은 이야기 중 가장 희망찬 이야기군요.{nl}이제 병력들을 좀 쉬게 한 뒤 이 사실을 알려줘야 겠습니다.
QUEST_LV_0200_20150317_000220	{memo X}여기서 누군가를 만나게 된다면 꼭 도와달라고 하고 싶은 게 있었는데 말이야.{nl}우리 작업장 좀 청소해줄 수 있겠어? 가는 곳마다 몬스터들이 튀어나와서 제대로 일을 할 수가 없다구.{nl}겁쟁이 왕국군 녀석들은 이근처는 얼씬도 못하니까 신경쓰지 말고.{nl}어때? 도와줄 수 있겠어?
QUEST_LV_0200_20150317_000221	{memo X}무슨 작업을 하냐고 물어도 그건 사업비밀이라서 말해줄 수 없겠는데..{nl}어차피 주인없는 물건들인 데 필요한 사람들이 가져가야지.
QUEST_LV_0200_20150317_000222	{memo X}이렇게 빨리? 혹시 놓친 녀석들은 없어?
QUEST_LV_0200_20150317_000223	{memo X}삼엄한 경비들 뚫고 내가 어떻게 여기 서있는지 궁금하지 않아?{nl}다 뒷줄이 있기 때문이지 왕국군녀석들 중에서 근무실적을 올리려고 xxx의 발톱을 사가는 녀석들이 있거든{nl}근데 사실 난 몬스터들하고 뒹굴고 싶진 않아, 특히 A녀석들이랑
QUEST_LV_0200_20150317_000224	{memo X}당신이 녀석들을 때려잡고 그 발톱을 좀 가져다 줄 수 있겠어?
QUEST_LV_0200_20150317_000225	{memo X}뭔가 오해하는 게 있는 것 같은 데, 우린 삽을든 고고학자지 강도나 약탈꾼이 아니라구.
QUEST_LV_0200_20150317_000226	{memo X}이거 꽤 짭짤하겠는 데?{nl} 정말 고마워
QUEST_LV_0200_20150317_000227	{memo X}석화된 도시에서 뭔가 건지고 싶다면 그만 두는 게 좋을 거야.{nl}우리 말고도 디코 도굴단이라는 무지막지한 녀석들이 있거든.{nl}근데 우리일을 도와주면 조금이나마 보상을 받을 수 있을지도 모르지.
QUEST_LV_0200_20150317_000228	{memo X}A지역에 가면 디코도굴단이 외부에서 가져온 물건들을 담은 상자가 있어. 그걸 좀 가져와 줄 수 있겠어?{nl}슬쩍 보고온 봐로는 녀석들 아직 돌아오진 않은거 같거든.
QUEST_LV_0200_20150317_000229	{memo X}녀석들 머리를 정말 잘 쓴단말이야.{nl} 외부에서 싸구려 골동품들을 가져와서 석화서리가 부는 곳에 놔두는 거야.{nl}그럼 짜잔~! 하고 석화가 되서 뭔가 그럴듯한 걸로 바뀌거든{nl}대도시의 귀족들은 속아서 그걸 아주 비싼값에 사들인다고 들었어.
QUEST_LV_0200_20150317_000230	{memo X}디코 도굴단 녀석들 생각보다 장사를 크게할 생각인거 같아.{nl}양이 정말 어마어마하구만. 혹시 녀석들도 왕국군과 내통하는 게 아닐까?
QUEST_LV_0200_20150317_000231	{memo X}풋내기 조각가들 사이에서 비싼값에 팔리는 물건이 있는 데, 바로 석화된 꽃이야.{nl}녀석들은 이걸 보고 모조품을 만들어내는 데, 그 출처는 모르더라구.{nl}알아서 좋을 것도 없지만..
QUEST_LV_0200_20150317_000232	{memo X}그래서 말인데 석화된 꽃을 좀 수집해줄 수 있겠어?
QUEST_LV_0200_20150317_000233	{memo X}내 동생도 한 땐 조각가가 되겠다고 열심히 공부했었어.{nl}4년 전 신수의 날 이후로 지금은 어디 있는진 모르겠지만..{nl}살아 남았다면 어디선가 멋진 여신상을 조각하고 있을거야..
QUEST_LV_0200_20150317_000234	{memo X}이걸보니 동생이 생각나..{nl}지금은 어디서 뭘하고 있을까?{nl}아무튼 수집해줘서 고마워.
QUEST_LV_0200_20150317_000235	{memo X}여기 오기로 한 형님이 한 분 계신데 오실 생각을 안하네, 설마 이렇게 넓은 구역에서 나혼자 작업할거라고 생각한 건 아니겠지?{nl}아무래도 무슨일이 생긴거 같아.
QUEST_LV_0200_20150317_000236	{memo X}형님은 경비소의 경비병들 사이에 숨어계셔 이 암호가 새겨진 물병을 경비병들에게 전하면 형님이 알아차리고 말을 걸어오실거야.
QUEST_LV_0200_20150317_000237	{memo X}석화서리가 막 쓸고 지나갔기 때문에 작업을 빨리해야해.{nl}석화서리가 언제 어디서 시작하는 지는 왕국군이 철수하는 걸 지켜보면 알수 있어.{nl}그리고 그 정보를 제일 빨리 받아볼 수 있는 방법은 왕국군이 되는거지.
QUEST_LV_0200_20150317_000238	{memo X}쉿! 목소리를 낮추십시오. 발각되면 나나 당신이나 끝장이니까.
QUEST_LV_0200_20150317_000239	{memo X}후베르타스 이 멍청이가 당신을 여기 보낸겁니까?{nl}여기 일이 끝나면 가겠다고 몇번이나 말했는 데.{nl}이 멍청이가 사람을 보낼 줄은 몰랐습니다.{nl}여기 아주 큰 문제가 생겼거든요.
QUEST_LV_0200_20150317_000240	{memo X}우리 식구들이 도시 밖에서 들어오지 못하고 있어요.{nl}당신의 도움이 필요합니다.{nl}이 병사들 몰래 식구들을 도시 안으로 들인다는 건 불가능합니다.{nl}모두 이 곳에서 사라져 줘야하죠.
QUEST_LV_0200_20150317_000241	{memo X}A지역에 큰 소란을 만들겁니다. 주변을 배회하는 살티스터를 불러들일 거에요.{nl}그러기 위해선 몬스터에게서 향기나는 돌가루를 모아와야 합니다. 할 수 있겠습니까?
QUEST_LV_0200_20150317_000242	{memo X}왕국군 보다 한 발 빨리 우리 식구들이 이곳을 통과했어야 했습니다.{nl}하지만 얼마전 석화서리가 불어닥친 후 레티아가 어째서인지 재촉하는 탓에 그러지 못했지요.
QUEST_LV_0200_20150317_000243	{memo X}이게 정확히 맞습니다.{nl}이걸 지금이라도 여기 부어버리면 살티스터가 거구를 드리미는 걸 얼마 안 있어 볼 수 있을 겁니다.{nl}하지만 우리 계획은 그게 아닙니다!
QUEST_LV_0200_20150317_000244	{memo X}이 곳을 싸움터로 만들어선 안 됩니다. 그럼 식구들이 지나갈 수 없어요.{nl}조금 머리를 굴려 봅시다..
QUEST_LV_0200_20150317_000245	{memo X}B지역에 나타나는 x몬스터에게 이 가루를 발라주십시오.{nl}그러면 그녀석들에게 홀린 살티스터가 녀석들에게 달려들겁니다.{nl}그럼 경비구역을 침범당한 레티아가 그걸 가만보고 있지 않을 겁니다.
QUEST_LV_0200_20150317_000246	{memo X}우리 식구들은 출신이 다양합니다. 저도 한땐 전략가를 희망하는 하급 장교였죠.{nl}제가 근무하던 지역이 4년전 신수의 날로 지도에서 사라지기 전까진 말이죠.
QUEST_LV_0200_20150317_000247	{memo X}남김없이 사용하셨습니까?{nl}그럼 이녀석들에겐 미안하지만 바빠질 시간이군요!
QUEST_LV_0200_20150317_000248	{memo X}레티아에게 가서 살티스터가 나타났고 이곳으로 오고있다고 전하십시오.{nl}그녀는 안 믿겠지만 벌써부터 살티스터가 뛰어오는 게 느껴지는 군요.{nl}서두르십시오! 
QUEST_LV_0200_20150317_000249	{memo X}그저 그녀에게 살티스터가 오고있다고만 말해주면 됩니다.{nl}우리를 의심할 일은 전혀 없을겁니다.
QUEST_LV_0200_20150317_000250	{memo X}당신덕에 우리 식구들이 이곳을 무사히 지나갔습니다.{nl}이 지역을 계속 여행할 예정이라면 흥미로운 진실들을 발견하게 될겁니다.{nl}그리고 우리 식구들과 만날 수도 있겠지요. 하지만 디코 도굴단 녀석들은 조심하십시오.{nl}우리와 다르게 녀석들은 처음부터 강도들이었으니까요.
QUEST_LV_0200_20150317_000251	경비병 고프덴
QUEST_LV_0200_20150317_000252	{memo X}저도 이런 곳에 있기 싫습니다. 여긴 특별히 지킬필요도 없거든요.{nl}칼리스 기사단 활동을 지원하라는 상부 지시가 있었거든요.
QUEST_LV_0200_20150317_000253	{memo X}제 일을 좀 도와주실 수 있겠습니까?{nl}코스타스님이 며칠 동안 돌아오지 않아서 여길 벗어날 수도 없는데 몬스터들이 날뛰는 마당에 가만히 있을 순 없지요.
QUEST_LV_0200_20150317_000254	{memo X}상관들은 칼리스 기사단을 좋게 보지 않고 있습니다.{nl}저같은 말단에겐 칼리스 쪽에서 보급품도 나눠주고 여러 가지 지원을 해주니 싫어할 이유는 없지요.
QUEST_LV_0200_20150317_000255	{memo X}처음 이곳에 왔을 땐 석화서리만 피해다니면 됐는데 4년전 신수의 날이 있은 후론 하루하루가 고비입니다.{nl}여기 일이 끝나면 전출 신청을 해봐야겠어요.
QUEST_LV_0200_20150317_000256	{memo X}칼리스 기사단원인 코스타스님의 요청으로 이곳에 왕국군이 들어온지 얼마 되지 않았습니다.{nl}6백년 전 불행을 겪었던 도시의 원형이 그나마 많이 남아있지요.{nl}제 임무는 중 하나는 여기 남아있는 반란군들의 기록을 처리하는 겁니다.
QUEST_LV_0200_20150317_000257	{memo X}코스타스님이 안 계셔서 자리를 비울 수 없으니 당신이 대신 좀 처리해주실 수 있겠습니까?{nl}교역지구와 팔듀오 광장터를 돌아보시면 기록들을 많이 발견할 수 있을 겁니다.
QUEST_LV_0200_20150317_000258	{memo X}기록들의 내용은 맘에 담아 두지 마십시오.{nl}모두 헛소리니까요
QUEST_LV_0200_20150317_000259	{memo X}호위, 뒷처리, 경비까지 할 일은 많은데 무슨 수로 혼자 다 하라는 건지 모르겠습니다{nl}그나마 당신이 도와주셔서 다행입니다.
QUEST_LV_0200_20150317_000260	{memo X}제가 이곳에 파견되기 며칠 전에 칼리스 기사단의 연구활동을 지원하기 위해 많은 병력들이 사전답사 차원으로 이곳을 들렸습니다.{nl}하지만 아무도 돌아오지 못했습니다. 불규칙적인 석화서리에 모두 당해버렸기 때문이죠.
QUEST_LV_0200_20150317_000261	{memo X}제게 그들의 유품을 가지고 돌아오라는데 솔직히 엄두도 안 나는 군요.{nl}당신이 좀 도와주실 수 있겠습니까?
QUEST_LV_0200_20150317_000262	{memo X}상부에서 수 십명이나 지원활동을 돕기 위해 희생당했다는 걸 좋게 볼리 없죠.{nl}그래서 요즘 왕국군과 칼리스 기사단 사이가 벌어진 감이 좀 있습니다.
QUEST_LV_0200_20150317_000263	{memo X}믿기지 않지만 저도 저기 서있을 뻔했습니다.{nl}그날 비번이었으니 망정이지.. 생각만해도 끔찍하군요.{nl}이건 유가족들에게 전달하겠습니다.
QUEST_LV_0200_20150317_000264	{memo X}안녕하신가 여행자여, 뭐하러 이런 곳을 지나가는 지 모르겠지만…
QUEST_LV_0200_20150317_000265	{memo X}아, 자네가 그 유명하신 계시자로구만 클라페다의 동료들에게 여러 번 들었지.{nl}여신의 뜻에 따라 세상을 구하러 다닌다지?
QUEST_LV_0200_20150317_000266	{memo X}그럼 내가 솔깃한 제안을 하나 하지, 여기 이 석화된 도시를 되돌릴 방법을 알아냈는 데 도와줄 수 있겠나?{nl}우선 주변 몬스터들부터 정리해주게 내가 안전해야 자네한태 뭐라도 알려줄 거 아닌가?
QUEST_LV_0200_20150317_000267	{memo X}클라페다의 크리오맨서들은 꽉막혔어 그리고 오만하지, 내게서 그런 느낌이 든다면 그건 착각일거야{nl}단언컨데 크리오맨서들 중에 나만큼 인간적이고 정이넘치는 사람도 없으니까
